City Name,Median Household Income,City Population
"Camanche Village, CA ",86176.00,840.00
"Woodcrest, CA ",86095.00,15951.00
"Bodega Bay, CA ",86000.00,603.00
"Centerville, CA ",85833.00,348.00
"Martinez, CA ",85736.00,36876.00
"Nicolaus, CA ",85625.00,205.00
"Whitley Gardens, CA ",85385.00,166.00
"Valley Center, CA ",85176.00,9872.00
"Norco, CA ",85142.00,27143.00
"Indian Wells, CA ",85000.00,5089.00
"Elkhorn, CA ",84758.00,1342.00
"Corralitos, CA ",84466.00,2812.00
"Brookdale, CA ",84451.00,2204.00
"Dana Point, CA ",84404.00,33861.00
"Camp Nelson, CA ",84107.00,100.00
"La Palma, CA ",84026.00,15791.00
"East Oakdale, CA ",84018.00,2901.00
"El Segundo, CA ",84004.00,16839.00
"Altadena, CA ",83917.00,44622.00
"Cypress, CA ",83819.00,48748.00
"San Jose, CA ",83787.00,986320.00
"Comptche, CA ",83750.00,77.00
"Jenner, CA ",83750.00,109.00
